2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': 'TEG01-PHP开发工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': 'TEG01-WEB开发工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': 'TEG01-自然语言处理工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': 'PCG04-腾讯汽车测试工程师（北京）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': 'WXG02-133 微信小程序运维工程师（广州）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': 'PCG04-腾讯汽车测试工程师（北京）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': 'WXG02-133 微信小程序运维工程师（广州）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': '22989-腾讯云视频云产品技术支持（成都）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': '24987-战术竞技类端游海外运营', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': '25666-Senior Strategic Sales Manager (Cloud)', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': 'CSIG16-导航诱导服务高级产品经理', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': '21229-开放世界RPG欧美产品运营（上海）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': '25923-游戏云存储数据库开发工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': 'WXG01-211 微信海外产品运营（广州）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:41 [tencent.spiders.hr] WARNING: {'title': 'CSIG16-自动驾驶仿真系统工程师（北京）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': 'WXG01-211 微信海外产品运营（广州）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': 'CSIG16-自动驾驶仿真系统工程师（北京）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': 'WXG02-113 微信分布式架构后台工程师（广州）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': 'WXG02-113 微信分布式架构高级后台工程师（广州）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': 'WXG02-113 微信后台开发工程师（广州）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': '21227-海外PM（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': '22989-腾讯云大数据应用高级产品经理（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': 'TEG12-web前端开发工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': 'TB-投资公关经理', 'position': None, 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': 'CSIG16-地图数据Web前端研发工程师', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': 'TB-投资公关经理', 'position': None, 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': 'CSIG16-地图数据Web前端研发工程师', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': 'TEG12-后台开发工程师（深圳）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': '25666-腾讯云游戏商务拓展（面向海外）（日本/韩国）', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': '25663-腾讯云游戏解决方案架构师（海外）', 'position': '技术类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': 'SA-腾讯社交广告数据应用产品经理（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': '21227-移动游戏社区运营策划（深圳）', 'position': '产品/项目类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': '25666-政务KA销售（北京、山东、海南、上海、江苏、浙江、福建）', 'position': '市场类', 'publish_date': '2019-01-10'}
2019-01-10 06:28:42 [tencent.spiders.hr] WARNING: {'title': 'WXG08-122 微信翻译算法工程师（广州）', 'position': '技术类', 'publish_date': '2019-01-10'}
